name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,loan_approved_label
Keith Smith,Ayalamouth,120128,806,8766,14,100.0,True,Approved
Cheryl Atkins,Keithfort,30726,691,9532,27,55.0,False,Rejected
Lindsay Carney,Jessicaborough,147002,728,12820,26,85.0,True,Approved
Alyssa Cherry,New Shannon,128430,554,25224,37,55.0,False,Rejected
Judith Smith,Port Marcus,142779,707,46013,13,75.0,True,Approved
Michelle Fitzgerald,Charlesside,130931,360,4415,21,60.0,True,Approved
Kaitlin Gomez,North Jonfurt,146059,609,26866,23,70.0,True,Approved
Steven Williams,West Geoffrey,43970,804,23228,29,65.0,True,Approved
Evan Moreno,West Darryl,132029,345,9380,31,60.0,True,Approved
Sandy Adkins,Campbellview,85724,570,34880,20,40.0,False,Rejected
Christopher Doyle,Gallagherberg,58683,750,4487,12,85.0,True,Approved
Michael Graham,Williamsstad,53053,796,30999,31,70.0,True,Approved
Nathan Hernandez,Claytonport,135396,484,12029,32,60.0,True,Approved
Kristine Alvarado,New Whitney,121214,304,35472,36,50.0,False,Rejected
Thomas Sanchez,Rhodesmouth,97889,326,19630,7,45.0,False,Rejected
Kevin Bean,Ericland,90889,771,47380,30,75.0,True,Approved
Tyler Wheeler,West Taramouth,36582,632,48942,36,40.0,False,Rejected
Scott Solis,Marcuston,103060,372,36858,38,50.0,False,Rejected
James Thompson,Davisborough,62662,466,26460,25,35.0,False,Rejected
Paul Valdez,West Travischester,141193,617,45889,38,65.0,True,Approved
Max Collier,South Sean,45906,697,32223,17,50.0,False,Rejected
Jenny Avila,Christinachester,89829,736,7091,2,70.0,True,Approved
Valerie Rhodes,South Alison,47477,837,6503,18,75.0,True,Approved
Bob Solis,Edgarberg,135043,607,17295,33,70.0,True,Approved
Keith Arnold,New Danielchester,90901,722,7192,29,80.0,True,Approved
Laura King,Brendahaven,117500,316,8466,29,60.0,True,Approved
Clarence Long,South Nancyport,99616,621,39483,29,60.0,True,Approved
Joanna Morton,Tammyburgh,103259,516,13129,5,50.0,False,Rejected
Lindsey Savage,South Amandatown,108047,704,8646,0,70.0,True,Approved
John Holt,Turnerstad,71588,704,20834,5,60.0,True,Approved
Adrian Rodriguez,Lake Taratown,128992,514,32530,9,45.0,False,Rejected
Jessica Garrett,North Kevin,146840,774,10710,30,95.0,True,Approved
Bruce Barrera,Maynardfort,88008,320,30459,37,45.0,False,Rejected
Edward Gallegos,Williamstown,110301,405,42314,27,50.0,False,Rejected
Sarah Mclaughlin,Benjaminfurt,136824,797,34643,37,85.0,True,Approved
Taylor Stein,Hallton,124276,840,2246,27,100.0,True,Approved
Kristen Adams,Smallville,146918,806,41809,22,90.0,True,Approved
Jeffrey Martin,South Maurice,96162,537,34268,14,45.0,False,Rejected
Melinda Dorsey,Andersonport,85933,699,28319,23,70.0,True,Approved
Rebecca Richard,West Hannah,138864,388,44716,30,50.0,False,Rejected
Curtis Obrien,Port Robertfort,148863,610,16382,13,70.0,True,Approved
Yvonne Howard,Michaelburgh,101810,478,33995,2,40.0,False,Rejected
Gail Wilson,North Anna,88446,798,17896,21,85.0,True,Approved
Patricia Carrillo,Paulahaven,147598,406,47294,3,40.0,False,Rejected
Jessica Bryant,North Kimberlyville,50861,342,34246,6,30.0,False,Rejected
Bruce Harris,Ericport,127472,752,34154,31,85.0,True,Approved
Annette Holland,Loriville,142917,506,29777,26,55.0,False,Rejected
Adriana Davenport,Petersonhaven,92216,475,6585,17,55.0,False,Rejected
Paul Ward,East Karen,88991,842,28637,14,85.0,True,Approved
Jeffrey Hardin,Cranehaven,63972,670,2950,28,75.0,True,Approved
Adam Drake,North Matthewfurt,128536,468,29447,3,45.0,False,Rejected
Andrew Nielsen,New Brian,62406,832,20380,26,80.0,True,Approved
Michael Spencer,Jennifermouth,140082,652,1517,17,75.0,True,Approved
Lisa Thomas,Griffinborough,113579,752,46709,22,80.0,True,Approved
Rachael Sullivan,West Christopher,66347,850,22921,24,80.0,True,Approved
Natalie Martinez,Jasonhaven,130376,619,35166,21,65.0,True,Approved
Caitlin Johnson,Johnport,131931,732,34113,7,70.0,True,Approved
Sarah Green,Davidville,98327,759,20527,36,85.0,True,Approved
Jody Bird,West Kevin,93517,443,47815,24,40.0,False,Rejected
Samantha Ward,East Jenniferchester,112149,383,7045,3,50.0,False,Rejected
Carlos Lewis,West Ericafurt,61358,831,26872,16,75.0,True,Approved
Mallory Barajas,Dennischester,65992,466,10459,32,45.0,False,Rejected
Michael Anderson,Lake Jasonfort,87654,333,49922,10,40.0,False,Rejected
Jaclyn Crane,Rodriguezstad,40155,596,3639,33,55.0,False,Rejected
Jacob Ritter,Kellytown,123525,446,10315,37,60.0,True,Approved
Timothy Torres,Jasonfort,67450,302,9016,35,45.0,False,Rejected
Seth Butler,Arielmouth,60735,686,32144,38,60.0,True,Approved
Charles Fields,Contrerasberg,65614,633,6853,39,60.0,True,Approved
Jennifer Hall,Morganton,74020,753,49228,17,70.0,True,Approved
Sharon Mann,Annville,71904,387,13610,39,45.0,False,Rejected
Nina Bernard,Port Thomas,147050,319,8882,34,60.0,True,Approved
Albert Buchanan,Port Janice,100798,754,6547,34,95.0,True,Approved
Jennifer Williams,West Samuelchester,40561,324,35596,20,25.0,False,Rejected
Brandon Petty,West Douglas,48136,561,6873,9,30.0,False,Rejected
Jason Jackson,Howardton,49769,605,26555,6,35.0,False,Rejected
Jason Nguyen,Davidville,60311,353,14274,15,45.0,False,Rejected
Laurie Vasquez,Averyview,80205,362,21862,29,45.0,False,Rejected
Ana Johnson,North Joseph,120957,403,17142,35,55.0,False,Rejected
Beth Carroll,Millerhaven,50028,508,10330,23,45.0,False,Rejected
Carol Sanchez,Aliside,122591,762,3738,0,80.0,True,Approved
Tonya Oliver,North Brian,58043,793,18911,38,75.0,True,Approved
Michael Kidd,New Mary,38418,588,3980,10,50.0,False,Rejected
Kristine Turner,Haleberg,84377,586,29309,13,60.0,True,Approved
Tina Flores,Cynthiamouth,83424,579,17117,20,50.0,False,Rejected
Joe Greene,Lake Dennistown,73369,787,1280,0,70.0,True,Approved
Jennifer Woodard,Farmerside,101121,383,43539,4,35.0,False,Rejected
Stephanie Cabrera,Chambersstad,91069,685,40407,22,65.0,True,Approved
Ryan Cain,North Stevenborough,84496,755,1613,14,90.0,True,Approved
Olivia Becker,Jamesport,38161,526,16352,31,25.0,False,Rejected
Amanda Vasquez,North James,57110,705,8270,17,70.0,True,Approved
Kathleen Arnold,North Brianna,139168,366,9351,16,60.0,True,Approved
Savannah Ibarra,Jamestown,85069,845,41269,16,80.0,True,Approved
Sonya Smith,Davidsonton,81049,630,29347,26,60.0,True,Approved
Michael Owens,Zacharyton,148598,529,4077,17,60.0,True,Approved
Kim Stewart,Leeland,130898,325,49329,14,50.0,False,Rejected
Jessica Jones,East Frank,106556,618,5118,40,75.0,True,Approved
Alyssa Reynolds,New Lauramouth,121163,556,17197,6,50.0,False,Rejected
Tyler Wall,Aprilbury,32560,374,40319,39,25.0,False,Rejected
Brendan Griffin,North Territon,142293,686,21531,4,70.0,True,Approved
Amy Lang,West Cherylchester,145429,367,7673,3,50.0,False,Rejected
Elizabeth James,New Karenbury,130348,310,30714,24,55.0,False,Rejected
Jeffrey Oliver,West Debratown,105456,764,34896,21,85.0,True,Approved
Ashley Smith,New Kristineborough,79857,429,42770,32,40.0,False,Rejected
Jason Hardy,Lopezberg,92518,345,4964,8,50.0,False,Rejected
Jeffrey Moyer,Larryside,30772,449,10660,30,30.0,False,Rejected
Grant Wood,New Brendaberg,76105,358,16557,32,50.0,False,Rejected
Kristin Brown,Jamesborough,69139,506,5482,21,50.0,False,Rejected
Michael Christian,Christinachester,128759,636,11635,6,70.0,True,Approved
Richard Williams,North Danielle,81116,535,31574,39,45.0,False,Rejected
John Tate,Lindsayfurt,141863,510,27234,11,55.0,False,Rejected
Adriana Smith,Anthonyville,146869,445,20043,28,55.0,False,Rejected
Kevin Cannon,North Jamesport,139540,478,15348,16,55.0,False,Rejected
Gina Spencer,East Andrew,84921,568,7631,1,40.0,False,Rejected
Breanna Pena,West Sharonport,100545,767,16738,23,90.0,True,Approved
Mary Pugh,Johnsland,127978,421,10465,8,55.0,False,Rejected
Cheryl Gray,Louischester,126289,550,4027,39,60.0,True,Approved
Sarah Phillips,West John,101582,586,9287,32,75.0,True,Approved
Stacey Clark,Port Thomasland,134840,471,34332,24,50.0,False,Rejected
Maria Hicks,Stoneburgh,109069,629,47693,23,60.0,True,Approved
Karen Sosa,Adamsfurt,147677,337,14579,14,60.0,True,Approved
Jodi Young,West Ronald,58906,686,38445,10,60.0,True,Approved
Jacqueline Pierce,Port Christopher,93993,755,35001,22,80.0,True,Approved
Andrew Hunt,Ronaldmouth,58760,742,27801,23,70.0,True,Approved
Emily Reyes,South Jesus,65774,377,24533,5,35.0,False,Rejected
Jonathan Payne,Port Joshuabury,87125,400,8771,4,40.0,False,Rejected
Joshua Cook,Johnview,93654,495,47244,38,40.0,False,Rejected
Dr. Nicole Singh DVM,Port Kevinstad,33804,713,27591,37,50.0,False,Rejected
Alexandra Valdez,Port Raymond,80968,532,48404,13,40.0,False,Rejected
Jose Hartman,Sharpmouth,74057,648,6627,20,65.0,True,Approved
Jessica Mcmahon,Clarkmouth,117670,330,25556,8,50.0,False,Rejected
Bethany Harding,South Lisastad,119016,647,15777,26,70.0,True,Approved
Paul Farmer,Marktown,134614,332,10118,9,55.0,False,Rejected
Wendy Carroll,Bairdborough,82994,700,5175,34,80.0,True,Approved
John Murphy,Fowlerport,124919,395,12234,6,55.0,False,Rejected
Cassandra Serrano,Johnsonborough,51632,371,26289,18,35.0,False,Rejected
Eddie Warren,Brownhaven,140166,311,12260,20,60.0,True,Approved
Jennifer Moore,East Amandafort,91261,370,26493,13,45.0,False,Rejected
Daniel Reynolds,Mooreshire,46728,617,39501,12,40.0,False,Rejected
Melinda Hill,East Seanfurt,111560,552,35462,21,50.0,False,Rejected
Sherry Stevens,Lake Christophermouth,100008,655,46895,19,60.0,True,Approved
Rodney Horn,Wrightchester,33534,768,26209,11,60.0,True,Approved
Anna Hale,East Nicoleburgh,148872,580,42162,34,65.0,True,Approved
Thomas Wolfe,South Robert,81645,424,25165,4,35.0,False,Rejected
Kathy Chan,Hayesview,107580,512,34165,2,40.0,False,Rejected
Benjamin Neal,Jamesfurt,103975,499,26996,2,40.0,False,Rejected
Brian Stark,Ellenmouth,116900,796,31235,4,75.0,True,Approved
Matthew Reeves,Taylorview,33552,465,12179,1,15.0,False,Rejected
Cassandra Martinez,Jacksontown,41003,579,11059,28,30.0,False,Rejected
Daniel Johnson,South Heather,114246,835,43009,6,85.0,True,Approved
Eric Williams,North Kelseyborough,86179,555,25552,15,45.0,False,Rejected
Alan Johnson,West Loriland,47786,525,7330,10,35.0,False,Rejected
Amanda Hunt,Marcusborough,143619,512,36501,25,50.0,False,Rejected
Barbara Lewis,Marcustown,90515,711,43860,20,65.0,True,Approved
Daniel Robinson,Debrastad,53819,344,5412,13,45.0,False,Rejected
Randall Porter,Lake Amandashire,36590,475,17511,6,20.0,False,Rejected
Vicki Horton,West Gregory,64099,625,44671,30,50.0,False,Rejected
Alan Barr,Reyesbury,79689,815,39500,0,65.0,True,Approved
Luis Mosley,Joelchester,72906,549,41616,5,30.0,False,Rejected
James Phillips,South James,57742,338,16601,38,40.0,False,Rejected
Jill Wiley MD,Dawnton,89598,833,28190,18,85.0,True,Approved
Crystal Quinn,Johnside,72840,355,44581,15,35.0,False,Rejected
Melissa Walker,Boydburgh,74236,752,42273,0,55.0,False,Rejected
John Mckay,Lake Victoriaborough,129775,428,7013,11,60.0,True,Approved
Sandra Frederick,New Christian,145296,778,21412,10,90.0,True,Approved
Danielle Thompson,West Justin,79692,759,42654,12,75.0,True,Approved
Richard Miller,Raymondburgh,66471,782,29926,27,70.0,True,Approved
Nancy Wolf,Smithfurt,128567,737,6454,19,85.0,True,Approved
Brittany Barber,Oscarport,139041,764,19561,24,90.0,True,Approved
Karen Cook,Gonzalezborough,85255,304,1841,32,55.0,False,Rejected
Jacqueline Sullivan,Bentleystad,63065,693,33083,19,60.0,True,Approved
Leah Ortiz,North Paulshire,139433,466,13728,27,60.0,True,Approved
Patricia Walton,Williamfort,40735,677,46642,3,40.0,False,Rejected
Tammy Fitzgerald,South Austin,91644,670,42350,1,50.0,False,Rejected
Maria Green,Blackburnberg,32540,560,17214,38,25.0,False,Rejected
Mary Martin,Port Christopherfurt,128176,707,47272,37,75.0,True,Approved
Angela Kent,Martinchester,100702,558,46340,19,45.0,False,Rejected
Kim Tanner,Jessicaland,36826,411,42692,36,25.0,False,Rejected
Haley Thomas,Lake Raymond,75870,615,1420,10,70.0,True,Approved
April Jones,Warrenport,59389,741,12182,11,80.0,True,Approved
Michael Gonzalez,New Stacy,115215,761,38164,13,85.0,True,Approved
Anthony White,West Tonya,38993,718,29883,40,50.0,False,Rejected
Ashley Fields,West Christopherville,132397,583,5211,21,75.0,True,Approved
David Washington,North Brucetown,115426,342,7346,13,60.0,True,Approved
Adrienne Morrison,Sarahfort,35276,645,40608,27,40.0,False,Rejected
Michael Cooper,Lisastad,128858,708,25801,39,80.0,True,Approved
Henry Rivera,North Stephenfurt,34067,442,2682,38,40.0,False,Rejected
Joseph Tapia,West Shannon,62411,786,34745,26,70.0,True,Approved
April Little,Allenstad,56130,346,49222,20,35.0,False,Rejected
Cynthia Washington,West Ronniefort,139999,402,49121,24,50.0,False,Rejected
Cory Thomas,East Tylerland,32671,608,45109,35,40.0,False,Rejected
Mrs. Stephanie Friedman,Batesbury,111439,549,14870,10,55.0,False,Rejected
Mary Davis,Holdertown,49973,464,22397,24,25.0,False,Rejected
Connie Scott,Lynnville,61266,439,36031,40,35.0,False,Rejected
Ann Holt,New Katie,46544,366,43204,21,25.0,False,Rejected
Mitchell Fitzgerald,Valdezside,92070,747,16293,14,85.0,True,Approved
Earl Rodriguez,Joyborough,117747,418,38541,23,50.0,False,Rejected
Erik James,West Bryanside,44993,494,26437,27,25.0,False,Rejected
Jacob Shelton,New Elizabeth,103920,527,7985,25,60.0,True,Approved
Samuel Stewart,Maryfort,58569,766,10661,38,80.0,True,Approved
Paul Sweeney,New Lukehaven,90952,426,18920,36,50.0,False,Rejected
Ronald Simpson,Brownmouth,121680,456,47973,13,50.0,False,Rejected
Taylor Walker,Port Kimberlyfort,63586,701,20601,10,65.0,True,Approved
Kimberly Rogers DDS,Katherinefurt,130518,373,35592,18,50.0,False,Rejected
Thomas Haynes,Davismouth,78351,355,47503,19,40.0,False,Rejected
Christopher Taylor,Carterberg,51992,514,15295,12,40.0,False,Rejected
Alexa Barber,Lake Kristenberg,109415,685,28991,10,75.0,True,Approved
Anne Mccann,North David,109593,827,43604,21,90.0,True,Approved
Tracy Sims,Sanchezville,128032,546,26994,31,55.0,False,Rejected
Kyle Thompson,Parsonsland,124156,774,43618,24,85.0,True,Approved
Matthew Richardson,North Christopherfort,45012,821,15741,1,55.0,False,Rejected
Victoria Mendoza,Port Brittanyfurt,131946,795,43244,27,85.0,True,Approved
Calvin Nguyen,South Lisa,137387,320,26807,35,55.0,False,Rejected
Rachel Moreno,New Maryside,51465,427,14596,7,35.0,False,Rejected
Kyle White,Mcbrideville,70768,340,9442,36,45.0,False,Rejected
Christopher Hart,North Tinahaven,44168,605,24826,34,40.0,False,Rejected
William Barrett,West Brandon,105849,831,20228,34,95.0,True,Approved
Kenneth Neal,Catherinehaven,33365,514,46084,6,20.0,False,Rejected
Amanda Johnson,West Melissa,70888,520,9795,38,45.0,False,Rejected
Leslie Ramirez,Jonesview,105470,566,26020,10,55.0,False,Rejected
Bradley King,Bentleyberg,118781,848,14353,4,85.0,True,Approved
Debra Schultz,Lake Nathan,149016,823,40645,10,90.0,True,Approved
Christian Riddle,Graybury,79192,379,18702,7,45.0,False,Rejected
Melinda Russell,Daniellestad,81990,641,18907,9,60.0,True,Approved
Courtney Smith,Pettybury,123718,687,7881,7,80.0,True,Approved
Nicholas Parker,Davisstad,55995,588,37145,17,50.0,False,Rejected
Stephanie Jackson,Whiteside,39961,712,32251,37,50.0,False,Rejected
Adam Palmer,Lake David,107607,687,38195,17,75.0,True,Approved
Nicholas Villegas,Lake Charlotte,120520,768,12999,28,90.0,True,Approved
Dr. Kathryn Hill,Meyerbury,138864,612,42656,5,60.0,True,Approved
Jennifer Edwards,Lake Christopherbury,112213,395,11820,36,55.0,False,Rejected
Patrick Spencer,Stokestown,61830,734,45370,32,60.0,True,Approved
Breanna Jimenez,South Alexanderborough,43356,307,47803,27,25.0,False,Rejected
Nicole Sanchez,New Shaneburgh,121382,836,15750,11,95.0,True,Approved
Ryan Palmer,South Tylerburgh,131250,682,8420,21,85.0,True,Approved
Danielle Ryan,West Kevinport,69529,571,14963,0,30.0,False,Rejected
Laura Robinson,Sarahhaven,141449,336,31346,39,55.0,False,Rejected
Amy Smith,Murphystad,119687,409,1337,22,60.0,True,Approved
Charlotte Gomez,South Travisland,108697,841,34706,9,85.0,True,Approved
Thomas Smith,Jeremyfurt,135582,683,20613,23,80.0,True,Approved
Clarence Cain,South Dianamouth,45866,465,10166,22,35.0,False,Rejected
Abigail Stephenson,North Jake,134363,341,9760,25,60.0,True,Approved
Gary Johnson,South Susan,104177,572,8785,26,60.0,True,Approved
Jon Maldonado Jr.,Shawfurt,132581,434,8191,6,55.0,False,Rejected
Beth Cooper,Port Gabrielleton,35383,650,29158,38,40.0,False,Rejected
Jessica Roberts,Millerchester,75508,553,41475,9,35.0,False,Rejected
Chelsea Campbell,Port Josephbury,99827,739,14003,30,75.0,True,Approved
Rhonda Haynes,East Victoria,86148,452,16032,7,45.0,False,Rejected
Andrew Mooney,South Andres,116706,504,6959,3,50.0,False,Rejected
Joseph Graves,East Matthew,78571,790,5020,32,90.0,True,Approved
Anthony Rodriguez,Juanstad,39038,728,17185,20,50.0,False,Rejected
Catherine Smith,Jasonfort,96317,586,40749,6,50.0,False,Rejected
David Henry,Kevinville,114874,313,45758,35,50.0,False,Rejected
Bianca Ward,Juliashire,74725,841,40630,23,75.0,True,Approved
Donald Silva,North Davidville,31658,342,39440,12,25.0,False,Rejected
Jeremy Garcia,Kevinfort,141355,506,35967,9,45.0,False,Rejected
Corey Pierce,Patriciaside,85057,655,24986,28,60.0,True,Approved
Autumn Graham,Barneshaven,137784,322,11940,38,60.0,True,Approved
Walter Roberts,Port Teresaborough,94251,707,33442,34,70.0,True,Approved
Valerie Martin,Hartfurt,43833,710,40794,17,50.0,False,Rejected
Aaron Armstrong,Port Williamhaven,86822,837,17962,19,90.0,True,Approved
Elizabeth Adams,East Jeffreyside,77472,543,20126,2,35.0,False,Rejected
Teresa Ramirez,West Morgan,113307,352,43101,15,50.0,False,Rejected
Christine Wilson DDS,Markside,146860,570,48322,8,45.0,False,Rejected
Logan Nguyen,Lake Lisastad,138620,524,48872,17,50.0,False,Rejected
Wesley Medina,Lake Juliefurt,90258,563,42040,40,40.0,False,Rejected
Christine Ramos,Josephshire,122708,704,11200,28,85.0,True,Approved
Nicholas Richardson,Davisburgh,50052,770,13125,11,75.0,True,Approved
John Blair,Andrewburgh,87080,481,26834,38,45.0,False,Rejected
Charles Simmons,Stoutfurt,53086,402,48468,33,35.0,False,Rejected
Paul Smith,South Patrickville,126180,313,43236,2,40.0,False,Rejected
Randy Adams,Port Tammyville,98386,646,47363,5,50.0,False,Rejected
John Hart,Ochoaport,115256,639,32385,9,60.0,True,Approved
Joshua Adams,North Malloryville,65400,603,7721,32,60.0,True,Approved
Jennifer Smith,North Jeremy,110728,694,10658,22,85.0,True,Approved
Courtney Koch,Mcdanielville,135932,803,12112,7,95.0,True,Approved
Tyler Campbell,New Matthewstad,100539,386,3840,38,60.0,True,Approved
Jeffrey Rogers,Lake Ronald,131533,608,41944,18,65.0,True,Approved
Brian Hendricks,Sarahland,93372,302,10741,9,45.0,False,Rejected
James Griffith,Briggsville,90931,737,48625,17,65.0,True,Approved
Frank Anderson,Gomezfort,87091,734,32541,26,70.0,True,Approved
Mallory Taylor,South Robert,138230,809,36307,34,90.0,True,Approved
Joshua Hall Jr.,Rosebury,125817,389,16413,23,55.0,False,Rejected
Xavier Smith,Rosarioville,107656,361,23894,23,55.0,False,Rejected
Sharon Fuentes,Stevenside,65179,731,16892,13,65.0,True,Approved
Amy Taylor,South Jessica,72245,734,25358,3,55.0,False,Rejected
Mary Jones,North Dylan,141635,444,6176,15,60.0,True,Approved
Keith Cervantes,Port Ian,62177,443,35566,19,35.0,False,Rejected
Nathan Wallace,West Danielton,138885,332,40595,11,50.0,False,Rejected
Alexandra Wall,Spencerview,41359,813,21056,14,65.0,True,Approved
Christopher Dudley,Spenceberg,66559,516,27240,39,35.0,False,Rejected
James Carson,Port Heatherfort,145557,620,43775,25,65.0,True,Approved
Carmen Pratt,Leeville,89087,406,6099,23,55.0,False,Rejected
Sarah Johnson,Franciscoville,61963,366,14887,38,45.0,False,Rejected
Theodore Lopez,Lake Sarah,128366,546,18640,5,50.0,False,Rejected
Krystal Elliott,Williamsmouth,90910,395,21224,0,35.0,False,Rejected
Dr. Tina Porter,Karenstad,104691,432,47049,6,40.0,False,Rejected
Steven Gordon,North Brenda,109997,691,32257,37,75.0,True,Approved
Amanda Martin,Millerland,117580,537,15132,9,50.0,False,Rejected
Candace Stuart,Sethberg,79674,647,20060,23,60.0,True,Approved
Teresa Williams,Allenland,74092,456,38152,40,35.0,False,Rejected
Anne Smith PhD,Amyland,33761,810,7167,29,75.0,True,Approved
Timothy Martin,Barbarastad,94789,391,5661,11,55.0,False,Rejected
Julia Andersen,Kathrynmouth,141536,443,9124,36,60.0,True,Approved
Jack Mitchell MD,South Michael,72600,621,25489,5,50.0,False,Rejected
Katie Baker,New Tiffanyton,53834,550,46858,35,35.0,False,Rejected
Samuel Roberts,New Reginald,93904,374,15617,24,50.0,False,Rejected
Maureen Bailey,Daymouth,57802,411,6624,11,45.0,False,Rejected
Sylvia Nielsen,Gonzalezmouth,76507,366,21793,21,45.0,False,Rejected
Katelyn Park DDS,Shawnside,134573,459,31799,9,50.0,False,Rejected
Erica Johnson,Brownstad,63862,740,32025,13,70.0,True,Approved
Sean Cisneros,Nelsonburgh,74608,385,10288,4,35.0,False,Rejected
Brad Russo,Savagehaven,66655,519,44885,16,35.0,False,Rejected
Anthony Jacobson,Petersonport,145385,468,14015,22,60.0,True,Approved
Karen Nichols,Lake Samuel,108139,698,1650,35,85.0,True,Approved
Linda Miller,West Elizabeth,121905,624,1929,9,70.0,True,Approved
Taylor Porter,Danielchester,145357,569,35124,0,40.0,False,Rejected
Terri Mathews DDS,North Jefferyborough,66211,730,46642,34,60.0,True,Approved
Lindsay Robinson,East Teresa,102848,314,25265,23,55.0,False,Rejected
Steven Shaw,Lake Victormouth,31330,723,27895,22,50.0,False,Rejected
Joshua Mills,Danielburgh,97715,769,29074,23,80.0,True,Approved
Kurt Daniels,Mitchellchester,55042,590,47012,39,50.0,False,Rejected
Susan Garcia,Port Maryland,41221,316,41387,26,25.0,False,Rejected
Paul Hanson,Lake Seanshire,61635,333,44759,18,35.0,False,Rejected
Christy Frank,Wilsonfort,124381,427,23977,29,55.0,False,Rejected
Robert Padilla,Smithstad,83271,529,34263,18,40.0,False,Rejected
Matthew Parker,Nuneztown,94038,724,3141,0,65.0,True,Approved
Richard Randall,Matthewshire,102768,740,16848,35,90.0,True,Approved
Cheryl Newman,Port Sarahchester,129374,431,42698,24,50.0,False,Rejected
Carrie Strong,South Jerry,61499,429,34046,7,30.0,False,Rejected
Rachel Cameron,Maryburgh,120519,630,14353,5,65.0,True,Approved
Jeffrey Fuller,North Christine,92402,380,38473,24,40.0,False,Rejected
Nicholas Lucero,Jacobbury,114659,604,13702,34,70.0,True,Approved
Molly Roman,Townsendton,123302,581,6437,9,70.0,True,Approved
Margaret Riley,North Stephenville,94332,409,10295,18,50.0,False,Rejected
Christopher Jones,Robertaborough,88743,700,7597,31,80.0,True,Approved
Jennifer Tucker,East Gracefurt,133931,621,42520,28,65.0,True,Approved
Keith Obrien,North Theresastad,32260,795,41239,38,60.0,True,Approved
Brooke Harmon,East Catherineside,42196,323,34947,32,25.0,False,Rejected
Cindy Diaz,North Mark,68566,525,6468,8,45.0,False,Rejected
John Ashley,Jeanport,59045,778,49837,31,70.0,True,Approved
Travis Nielsen,Geraldview,83005,702,7743,37,80.0,True,Approved
Laurie Martin,Lake Tony,120673,756,28770,38,90.0,True,Approved
Rose Dean,Pattersonshire,61890,661,25507,40,50.0,False,Rejected
Joanna Preston,Brendaport,70135,843,24085,25,80.0,True,Approved
Christopher Morris,West John,117026,520,44054,23,50.0,False,Rejected
Richard Martinez,Haleymouth,106225,518,31498,36,50.0,False,Rejected
Stephanie Hoffman,Campbellborough,78368,839,15251,6,85.0,True,Approved
Michelle Shah,New Patriciachester,92031,745,21826,20,85.0,True,Approved
Anthony Snyder,West Robertville,102544,763,12215,38,90.0,True,Approved
James Ray,Andrewshire,99588,304,31262,18,45.0,False,Rejected
Walter Johnson,West Deannaland,75056,781,7233,26,90.0,True,Approved
Denise Molina,Millermouth,85771,805,41129,3,70.0,True,Approved
Michael Gibson,Port Nathanielville,127771,329,15681,3,45.0,False,Rejected
Brenda Holder,Perezland,102140,495,48455,23,45.0,False,Rejected
Amy Ware,North Brandonport,73357,376,18283,21,45.0,False,Rejected
Rebecca Gray,East Brandy,76112,422,9276,20,50.0,False,Rejected
Nicole Barron,Walshville,122124,834,35576,15,90.0,True,Approved
Mary Bray,Kendrafort,89473,531,7016,16,55.0,False,Rejected
Michelle Gomez,Lake Deborah,65509,510,46545,4,25.0,False,Rejected
Johnny Lewis,South Lori,70189,492,32958,6,30.0,False,Rejected
Robert Gill,Kathleenport,62951,764,43945,9,65.0,True,Approved
Ashley Anderson,Paulmouth,60217,825,14305,25,85.0,True,Approved
Donald Martin,Stephanieshire,45814,404,10652,29,35.0,False,Rejected
Natasha Allen,Lopeztown,124540,787,44377,33,85.0,True,Approved
Derek Mcintosh,West Ryanberg,55242,706,33911,27,60.0,True,Approved
Amy Nelson,North Deborahchester,71359,498,20267,12,40.0,False,Rejected
Kirk Moreno,Stoneville,45670,351,43358,15,25.0,False,Rejected
Colleen Brown,New Josephland,127370,844,7621,17,100.0,True,Approved
Manuel Baldwin,Longbury,100236,574,33451,13,50.0,False,Rejected
Dalton Walsh,Jessicaville,129901,489,33980,39,50.0,False,Rejected
Eric Knox,East Leslie,120461,371,11921,11,60.0,True,Approved
Jesse Rivers,Pattersontown,54267,481,18290,4,30.0,False,Rejected
Philip Smith,Tarashire,55105,301,33001,15,35.0,False,Rejected
Andrew Smith,Maryhaven,58361,815,11964,9,80.0,True,Approved
Ariel Lara,Shaunstad,126810,563,44477,31,50.0,False,Rejected
Jimmy Carey,Jenniferhaven,93464,795,8389,17,90.0,True,Approved
Monica Smith,Chaseberg,66241,665,33625,1,35.0,False,Rejected
Patrick Mcpherson,Jamieland,124972,498,25758,40,55.0,False,Rejected
Donald Sims,Archerhaven,107278,479,18387,22,55.0,False,Rejected
Jeanne Butler,Kyleton,129641,832,46995,21,90.0,True,Approved
Barbara Pope,Keithtown,98765,810,45926,9,75.0,True,Approved
Chris Levy,West Tommy,108222,366,20315,0,40.0,False,Rejected
Daniel Petersen,North Tracytown,67093,740,24085,0,60.0,True,Approved
Chad Koch,North Jennifer,43176,446,49041,12,25.0,False,Rejected
Thomas Carter,South Sarahbury,139134,695,28693,25,80.0,True,Approved
Annette Green,Carlaburgh,55443,746,45493,20,70.0,True,Approved
Brenda Saunders,Derekside,68829,504,20730,19,40.0,False,Rejected
Keith Fuller,South Kimberly,59816,747,7294,8,75.0,True,Approved
Melissa Gordon,Taylorchester,77301,777,28558,26,80.0,True,Approved
